Namespace(image='library', model='ce_skip_depth4')
Number of params: 1060339
Starting optimization with ADAM
Iteration 00254    Loss 0.012376 
Iteration 00255    Loss 0.012243 
Iteration 00256    Loss 0.012027 
Iteration 00257    Loss 0.012223 
Iteration 00258    Loss 0.012052 
Iteration 00259    Loss 0.011810 
Iteration 00260    Loss 0.011698 
Iteration 00261    Loss 0.011629 
Iteration 00262    Loss 0.011622 
Iteration 00263    Loss 0.011627 
Iteration 00264    Loss 0.011365 
Iteration 00265    Loss 0.011369 
Iteration 00266    Loss 0.011209 
Iteration 00267    Loss 0.011090 
Iteration 00268    Loss 0.011219 
Iteration 00269    Loss 0.011201 
Iteration 00270    Loss 0.011753 
Iteration 00271    Loss 0.011610 
Iteration 00272    Loss 0.011830 
Iteration 00273    Loss 0.011699 
Iteration 00274    Loss 0.012297 
Iteration 00275    Loss 0.012049 
Iteration 00276    Loss 0.011589 
Iteration 00277    Loss 0.011193 
Iteration 00278    Loss 0.011538 
Iteration 00279    Loss 0.010919 
Iteration 00280    Loss 0.011058 
Iteration 00281    Loss 0.010939 
Iteration 00282    Loss 0.010672 
Iteration 00283    Loss 0.010728 
Iteration 00284    Loss 0.010426 
Iteration 00285    Loss 0.010601 
Iteration 00286    Loss 0.010350 
Iteration 00287    Loss 0.010466 
Iteration 00288    Loss 0.010194 
Iteration 00289    Loss 0.010254 
Iteration 00290    Loss 0.010161 
Iteration 00291    Loss 0.010073 
Iteration 00292    Loss 0.010237 
Iteration 00293    Loss 0.010345 
Iteration 00294    Loss 0.011482 
Iteration 00295    Loss 0.011448 
Iteration 00296    Loss 0.013122 
Iteration 00297    Loss 0.012038 
Iteration 00298    Loss 0.011866 
Iteration 00299    Loss 0.011374 
Iteration 00300    Loss 0.011268 
Iteration 00301    Loss 0.010874 
Iteration 00302    Loss 0.010916 
Iteration 00303    Loss 0.010494 
Iteration 00304    Loss 0.010527 
Iteration 00305    Loss 0.010234 
Iteration 00306    Loss 0.010150 
Iteration 00307    Loss 0.009922 
Iteration 00308    Loss 0.009868 
Iteration 00309    Loss 0.009682 
Iteration 00310    Loss 0.009591 
Iteration 00311    Loss 0.009474 
Iteration 00312    Loss 0.009367 
Iteration 00313    Loss 0.009286 
Iteration 00314    Loss 0.009157 
Iteration 00315    Loss 0.009082 
Iteration 00316    Loss 0.009007 
Iteration 00317    Loss 0.008931 
Iteration 00318    Loss 0.008878 
Iteration 00319    Loss 0.008933 
Iteration 00320    Loss 0.009183 
Iteration 00321    Loss 0.010045 
Iteration 00322    Loss 0.009734 
Iteration 00323    Loss 0.009463 
Iteration 00324    Loss 0.009072 
Iteration 00325    Loss 0.009579 
Iteration 00326    Loss 0.009167 
Iteration 00327    Loss 0.008746 
Iteration 00328    Loss 0.009199 
Iteration 00329    Loss 0.008784 
Iteration 00330    Loss 0.008719 
Iteration 00331    Loss 0.008719 
Iteration 00332    Loss 0.008473 
Iteration 00333    Loss 0.008463 
Iteration 00334    Loss 0.008401 
Iteration 00335    Loss 0.008314 
Iteration 00336    Loss 0.008174 
Iteration 00337    Loss 0.008190 
Iteration 00338    Loss 0.008034 
Iteration 00339    Loss 0.007995 
Iteration 00340    Loss 0.007957 
Iteration 00341    Loss 0.007895 
Iteration 00342    Loss 0.007848 
Iteration 00343    Loss 0.007860 
Iteration 00344    Loss 0.007984 
