Namespace(image='library', model='UNET')
zero
zero
zero
zero
zero
zero
zero
zero
zero
zero
zero
Number of params: 1616315
Starting optimization with ADAM
Iteration 00331    Loss 0.022435 
Iteration 00332    Loss 0.022230 
Iteration 00333    Loss 0.022243 
Iteration 00334    Loss 0.022217 
Iteration 00335    Loss 0.022117 
Iteration 00336    Loss 0.022162 
Iteration 00337    Loss 0.022300 
Iteration 00338    Loss 0.022297 
Iteration 00339    Loss 0.022234 
Iteration 00340    Loss 0.022396 
Iteration 00341    Loss 0.022105 
Iteration 00342    Loss 0.021997 
Iteration 00343    Loss 0.022007 
Iteration 00344    Loss 0.021816 
Iteration 00345    Loss 0.021508 
Iteration 00346    Loss 0.021374 
Iteration 00347    Loss 0.021217 
Iteration 00348    Loss 0.021125 
Iteration 00349    Loss 0.021102 
Iteration 00350    Loss 0.020915 
Iteration 00351    Loss 0.020857 
Iteration 00352    Loss 0.021048 
Iteration 00353    Loss 0.021138 
Iteration 00354    Loss 0.021673 
Iteration 00355    Loss 0.022755 
Iteration 00356    Loss 0.025080 
Iteration 00357    Loss 0.023532 
Iteration 00358    Loss 0.021364 
Iteration 00359    Loss 0.021563 
Iteration 00360    Loss 0.022140 
Iteration 00361    Loss 0.021811 
Iteration 00362    Loss 0.020716 
Iteration 00363    Loss 0.021843 
Iteration 00364    Loss 0.022044 
Iteration 00365    Loss 0.021127 
Iteration 00366    Loss 0.021001 
Iteration 00367    Loss 0.021233 
Iteration 00368    Loss 0.020584 
Iteration 00369    Loss 0.020871 
Iteration 00370    Loss 0.020538 
Iteration 00371    Loss 0.020806 
Iteration 00372    Loss 0.020199 
Iteration 00373    Loss 0.020678 
Iteration 00374    Loss 0.020275 
Iteration 00375    Loss 0.020232 
Iteration 00376    Loss 0.020116 
Iteration 00377    Loss 0.020085 
Iteration 00378    Loss 0.020020 
Iteration 00379    Loss 0.019746 
Iteration 00380    Loss 0.019835 
Iteration 00381    Loss 0.019628 
Iteration 00382    Loss 0.019757 
Iteration 00383    Loss 0.019753 
Iteration 00384    Loss 0.019566 
Iteration 00385    Loss 0.019544 
Iteration 00386    Loss 0.019397 
Iteration 00387    Loss 0.019298 
Iteration 00388    Loss 0.019313 
Iteration 00389    Loss 0.019223 
Iteration 00390    Loss 0.019196 
Iteration 00391    Loss 0.019237 
Iteration 00392    Loss 0.019470 
Iteration 00393    Loss 0.019979 
Iteration 00394    Loss 0.021284 
Iteration 00395    Loss 0.022191 
Iteration 00396    Loss 0.021354 
Iteration 00397    Loss 0.019478 
Iteration 00398    Loss 0.019421 
Iteration 00399    Loss 0.020672 
Iteration 00400    Loss 0.019931 
Iteration 00401    Loss 0.018956 
Iteration 00402    Loss 0.019637 
Iteration 00403    Loss 0.019784 
Iteration 00404    Loss 0.019055 
Iteration 00405    Loss 0.019058 
Iteration 00406    Loss 0.019407 
