Namespace(image='library', model='ResNet')
Number of params: 158979
Starting optimization with ADAM
Iteration 00296    Loss 0.015536 
Iteration 00297    Loss 0.015497 
Iteration 00298    Loss 0.015287 
Iteration 00299    Loss 0.015136 
Iteration 00300    Loss 0.015214 
Iteration 00301    Loss 0.015265 
Iteration 00302    Loss 0.015160 
Iteration 00303    Loss 0.015200 
Iteration 00304    Loss 0.015523 
Iteration 00305    Loss 0.015375 
Iteration 00306    Loss 0.015419 
Iteration 00307    Loss 0.015040 
Iteration 00308    Loss 0.015086 
Iteration 00309    Loss 0.014986 
Iteration 00310    Loss 0.014943 
Iteration 00311    Loss 0.015178 
Iteration 00312    Loss 0.014799 
Iteration 00313    Loss 0.014904 
Iteration 00314    Loss 0.014913 
Iteration 00315    Loss 0.015063 
Iteration 00316    Loss 0.015357 
Iteration 00317    Loss 0.014826 
Iteration 00318    Loss 0.014688 
Iteration 00319    Loss 0.014710 
Iteration 00320    Loss 0.014390 
Iteration 00321    Loss 0.014438 
Iteration 00322    Loss 0.014504 
Iteration 00323    Loss 0.014526 
Iteration 00324    Loss 0.014605 
Iteration 00325    Loss 0.014490 
Iteration 00326    Loss 0.014429 
Iteration 00327    Loss 0.014499 
Iteration 00328    Loss 0.014418 
Iteration 00329    Loss 0.014568 
Iteration 00330    Loss 0.014436 
Iteration 00331    Loss 0.014171 
Iteration 00332    Loss 0.014278 
Iteration 00333    Loss 0.014401 
Iteration 00334    Loss 0.014100 
Iteration 00335    Loss 0.014034 
Iteration 00336    Loss 0.014435 
Iteration 00337    Loss 0.014547 
Iteration 00338    Loss 0.014258 
Iteration 00339    Loss 0.014315 
Iteration 00340    Loss 0.014161 
Iteration 00341    Loss 0.014047 
Iteration 00342    Loss 0.013884 
Iteration 00343    Loss 0.013943 
Iteration 00344    Loss 0.013913 
Iteration 00345    Loss 0.013697 
Iteration 00346    Loss 0.013832 
Iteration 00347    Loss 0.013649 
Iteration 00348    Loss 0.013654 
Iteration 00349    Loss 0.013632 
Iteration 00350    Loss 0.013504 
Iteration 00351    Loss 0.013385 
Iteration 00352    Loss 0.013452 
Iteration 00353    Loss 0.013980 
Iteration 00354    Loss 0.014182 
Iteration 00355    Loss 0.014886 
Iteration 00356    Loss 0.013713 
Iteration 00357    Loss 0.013872 
Iteration 00358    Loss 0.014744 
Iteration 00359    Loss 0.013539 
Iteration 00360    Loss 0.014672 
Iteration 00361    Loss 0.014782 
Iteration 00362    Loss 0.014356 
Iteration 00363    Loss 0.014287 
Iteration 00364    Loss 0.013915 
Iteration 00365    Loss 0.013884 
Iteration 00366    Loss 0.013945 
Iteration 00367    Loss 0.013746 
Iteration 00368    Loss 0.013426 
Iteration 00369    Loss 0.013497 
Iteration 00370    Loss 0.013653 
Iteration 00371    Loss 0.013710 
Iteration 00372    Loss 0.012997 
Iteration 00373    Loss 0.013229 
Iteration 00374    Loss 0.013230 
Iteration 00375    Loss 0.013021 
Iteration 00376    Loss 0.012942 
Iteration 00377    Loss 0.013005 
Iteration 00378    Loss 0.012788 
Iteration 00379    Loss 0.012707 
Iteration 00380    Loss 0.012625 
Iteration 00381    Loss 0.012659 
Iteration 00382    Loss 0.012679 
Iteration 00383    Loss 0.012699 
Iteration 00384    Loss 0.012743 
Iteration 00385    Loss 0.012628 
Iteration 00386    Loss 0.012729 
Iteration 00387    Loss 0.012650 
Iteration 00388    Loss 0.012445 
Iteration 00389    Loss 0.012245 
Iteration 00390    Loss 0.012231 
Iteration 00391    Loss 0.012437 
Iteration 00392    Loss 0.012787 
Iteration 00393    Loss 0.012628 
Iteration 00394    Loss 0.013277 
Iteration 00395    Loss 0.013992 
Iteration 00396    Loss 0.013745 
Iteration 00397    Loss 0.013347 
Iteration 00398    Loss 0.012851 
Iteration 00399    Loss 0.013147 
Iteration 00400    Loss 0.013093 
Iteration 00401    Loss 0.013047 
Iteration 00402    Loss 0.013008 
Iteration 00403    Loss 0.012894 
Iteration 00404    Loss 0.012946 
Iteration 00405    Loss 0.012568 
Iteration 00406    Loss 0.012606 
Iteration 00407    Loss 0.012732 
Iteration 00408    Loss 0.012748 
Iteration 00409    Loss 0.012659 
Iteration 00410    Loss 0.012493 
Iteration 00411    Loss 0.012426 
Iteration 00412    Loss 0.012247 
Iteration 00413    Loss 0.012240 
Iteration 00414    Loss 0.012140 
Iteration 00415    Loss 0.012235 
Iteration 00416    Loss 0.012267 
Iteration 00417    Loss 0.012286 
Iteration 00418    Loss 0.012362 
Iteration 00419    Loss 0.012325 
Iteration 00420    Loss 0.012081 
Iteration 00421    Loss 0.011918 
Iteration 00422    Loss 0.011917 
Iteration 00423    Loss 0.012123 
Iteration 00424    Loss 0.012217 
Iteration 00425    Loss 0.012298 
Iteration 00426    Loss 0.012324 
Iteration 00427    Loss 0.012439 
Iteration 00428    Loss 0.012334 
Iteration 00429    Loss 0.011897 
Iteration 00430    Loss 0.011618 
Iteration 00431    Loss 0.011664 
Iteration 00432    Loss 0.011624 
Iteration 00433    Loss 0.011521 
Iteration 00434    Loss 0.011567 
Iteration 00435    Loss 0.011560 
Iteration 00436    Loss 0.011419 
Iteration 00437    Loss 0.011352 
Iteration 00438    Loss 0.011394 
Iteration 00439    Loss 0.011540 
Iteration 00440    Loss 0.011781 
Iteration 00441    Loss 0.012069 
Iteration 00442    Loss 0.012163 
Iteration 00443    Loss 0.012568 
Iteration 00444    Loss 0.012110 
