Namespace(image='library', model='skip_depth2')
Number of params: 59635
Starting optimization with ADAM
Iteration 00285    Loss 0.005642 
Iteration 00286    Loss 0.005847 
Iteration 00287    Loss 0.005428 
Iteration 00288    Loss 0.005539 
Iteration 00289    Loss 0.005685 
Iteration 00290    Loss 0.005295 
Iteration 00291    Loss 0.005406 
Iteration 00292    Loss 0.005492 
Iteration 00293    Loss 0.005197 
Iteration 00294    Loss 0.005316 
Iteration 00295    Loss 0.005347 
Iteration 00296    Loss 0.005146 
Iteration 00297    Loss 0.005221 
Iteration 00298    Loss 0.005230 
Iteration 00299    Loss 0.005116 
Iteration 00300    Loss 0.005128 
Iteration 00301    Loss 0.005135 
Iteration 00302    Loss 0.005117 
Iteration 00303    Loss 0.005137 
Iteration 00304    Loss 0.005180 
Iteration 00305    Loss 0.005371 
Iteration 00306    Loss 0.005560 
Iteration 00307    Loss 0.005724 
Iteration 00308    Loss 0.005578 
Iteration 00309    Loss 0.005348 
Iteration 00310    Loss 0.005250 
Iteration 00311    Loss 0.005519 
Iteration 00312    Loss 0.005552 
Iteration 00313    Loss 0.005198 
Iteration 00314    Loss 0.005183 
Iteration 00315    Loss 0.005284 
Iteration 00316    Loss 0.005168 
Iteration 00317    Loss 0.005040 
Iteration 00318    Loss 0.005034 
Iteration 00319    Loss 0.005091 
Iteration 00320    Loss 0.005035 
Iteration 00321    Loss 0.004941 
Iteration 00322    Loss 0.004977 
Iteration 00323    Loss 0.004991 
Iteration 00324    Loss 0.004923 
Iteration 00325    Loss 0.004955 
Iteration 00326    Loss 0.004994 
Iteration 00327    Loss 0.005089 
Iteration 00328    Loss 0.005387 
Iteration 00329    Loss 0.005869 
Iteration 00330    Loss 0.006121 
Iteration 00331    Loss 0.005775 
Iteration 00332    Loss 0.005445 
Iteration 00333    Loss 0.005584 
Iteration 00334    Loss 0.005449 
Iteration 00335    Loss 0.005098 
Iteration 00336    Loss 0.005263 
Iteration 00337    Loss 0.005246 
Iteration 00338    Loss 0.004987 
Iteration 00339    Loss 0.005060 
Iteration 00340    Loss 0.005064 
Iteration 00341    Loss 0.004885 
Iteration 00342    Loss 0.004918 
Iteration 00343    Loss 0.004906 
Iteration 00344    Loss 0.004811 
Iteration 00345    Loss 0.004812 
Iteration 00346    Loss 0.004790 
Iteration 00347    Loss 0.004727 
Iteration 00348    Loss 0.004738 
Iteration 00349    Loss 0.004706 
Iteration 00350    Loss 0.004648 
Iteration 00351    Loss 0.004691 
Iteration 00352    Loss 0.004697 
Iteration 00353    Loss 0.004672 
Iteration 00354    Loss 0.004781 
Iteration 00355    Loss 0.005027 
Iteration 00356    Loss 0.005445 
Iteration 00357    Loss 0.005833 
Iteration 00358    Loss 0.005559 
Iteration 00359    Loss 0.004846 
Iteration 00360    Loss 0.004940 
Iteration 00361    Loss 0.005283 
Iteration 00362    Loss 0.004938 
Iteration 00363    Loss 0.004687 
Iteration 00364    Loss 0.004928 
Iteration 00365    Loss 0.004897 
Iteration 00366    Loss 0.004622 
Iteration 00367    Loss 0.004690 
Iteration 00368    Loss 0.004808 
Iteration 00369    Loss 0.004615 
Iteration 00370    Loss 0.004559 
Iteration 00371    Loss 0.004692 
Iteration 00372    Loss 0.004686 
Iteration 00373    Loss 0.004654 
Iteration 00374    Loss 0.004790 
Iteration 00375    Loss 0.004921 
Iteration 00376    Loss 0.005032 
Iteration 00377    Loss 0.004934 
Iteration 00378    Loss 0.004753 
Iteration 00379    Loss 0.004744 
Iteration 00380    Loss 0.004820 
Iteration 00381    Loss 0.004807 
Iteration 00382    Loss 0.004684 
Iteration 00383    Loss 0.004589 
Iteration 00384    Loss 0.004568 
Iteration 00385    Loss 0.004568 
Iteration 00386    Loss 0.004546 
Iteration 00387    Loss 0.004535 
Iteration 00388    Loss 0.004557 
Iteration 00389    Loss 0.004530 
Iteration 00390    Loss 0.004521 
Iteration 00391    Loss 0.004604 
Iteration 00392    Loss 0.004779 
Iteration 00393    Loss 0.005036 
Iteration 00394    Loss 0.005184 
Iteration 00395    Loss 0.005160 
Iteration 00396    Loss 0.004841 
Iteration 00397    Loss 0.004671 
Iteration 00398    Loss 0.004818 
Iteration 00399    Loss 0.004826 
Iteration 00400    Loss 0.004582 
Iteration 00401    Loss 0.004508 
Iteration 00402    Loss 0.004575 
Iteration 00403    Loss 0.004548 
Iteration 00404    Loss 0.004487 
Iteration 00405    Loss 0.004442 
Iteration 00406    Loss 0.004386 
Iteration 00407    Loss 0.004389 
Iteration 00408    Loss 0.004372 
Iteration 00409    Loss 0.004337 
Iteration 00410    Loss 0.004320 
Iteration 00411    Loss 0.004278 
Iteration 00412    Loss 0.004244 
Iteration 00413    Loss 0.004259 
Iteration 00414    Loss 0.004269 
Iteration 00415    Loss 0.004285 
Iteration 00416    Loss 0.004330 
Iteration 00417    Loss 0.004464 
Iteration 00418    Loss 0.004745 
Iteration 00419    Loss 0.005351 
Iteration 00420    Loss 0.005409 
Iteration 00421    Loss 0.004927 
Iteration 00422    Loss 0.004540 
Iteration 00423    Loss 0.004934 
Iteration 00424    Loss 0.004928 
Iteration 00425    Loss 0.004454 
Iteration 00426    Loss 0.004668 
Iteration 00427    Loss 0.004763 
Iteration 00428    Loss 0.004419 
Iteration 00429    Loss 0.004529 
Iteration 00430    Loss 0.004540 
Iteration 00431    Loss 0.004332 
Iteration 00432    Loss 0.004431 
Iteration 00433    Loss 0.004424 
Iteration 00434    Loss 0.004261 
Iteration 00435    Loss 0.004338 
Iteration 00436    Loss 0.004340 
Iteration 00437    Loss 0.004223 
Iteration 00438    Loss 0.004315 
Iteration 00439    Loss 0.004373 
Iteration 00440    Loss 0.004410 
Iteration 00441    Loss 0.004662 
Iteration 00442    Loss 0.004876 
Iteration 00443    Loss 0.004931 
Iteration 00444    Loss 0.004634 
Iteration 00445    Loss 0.004253 
Iteration 00446    Loss 0.004279 
Iteration 00447    Loss 0.004495 
Iteration 00448    Loss 0.004459 
Iteration 00449    Loss 0.004275 
Iteration 00450    Loss 0.004153 
Iteration 00451    Loss 0.004213 
Iteration 00452    Loss 0.004336 
Iteration 00453    Loss 0.004256 
Iteration 00454    Loss 0.004117 
Iteration 00455    Loss 0.004114 
Iteration 00456    Loss 0.004201 
Iteration 00457    Loss 0.004301 
Iteration 00458    Loss 0.004400 
Iteration 00459    Loss 0.004473 
Iteration 00460    Loss 0.004683 
Iteration 00461    Loss 0.004893 
Iteration 00462    Loss 0.004731 
Iteration 00463    Loss 0.004301 
Iteration 00464    Loss 0.004163 
Iteration 00465    Loss 0.004375 
Iteration 00466    Loss 0.004487 
Iteration 00467    Loss 0.004250 
Iteration 00468    Loss 0.004049 
Iteration 00469    Loss 0.004194 
Iteration 00470    Loss 0.004307 
Iteration 00471    Loss 0.004193 
Iteration 00472    Loss 0.004044 
Iteration 00473    Loss 0.004016 
Iteration 00474    Loss 0.004112 
Iteration 00475    Loss 0.004143 
Iteration 00476    Loss 0.004043 
Iteration 00477    Loss 0.003981 
Iteration 00478    Loss 0.004004 
Iteration 00479    Loss 0.004070 
Iteration 00480    Loss 0.004150 
Iteration 00481    Loss 0.004214 
Iteration 00482    Loss 0.004271 
Iteration 00483    Loss 0.004453 
Iteration 00484    Loss 0.004567 
Iteration 00485    Loss 0.004443 
Iteration 00486    Loss 0.004136 
Iteration 00487    Loss 0.004097 
Iteration 00488    Loss 0.004302 
Iteration 00489    Loss 0.004282 
Iteration 00490    Loss 0.004096 
Iteration 00491    Loss 0.004105 
Iteration 00492    Loss 0.004239 
Iteration 00493    Loss 0.004290 
Iteration 00494    Loss 0.004304 
Iteration 00495    Loss 0.004306 
Iteration 00496    Loss 0.004266 
Iteration 00497    Loss 0.004189 
Iteration 00498    Loss 0.004136 
Iteration 00499    Loss 0.004065 
Iteration 00500    Loss 0.004015 
Iteration 00501    Loss 0.004052 
Iteration 00502    Loss 0.004076 
Iteration 00503    Loss 0.003975 
Iteration 00504    Loss 0.003881 
Iteration 00505    Loss 0.003932 
Iteration 00506    Loss 0.003945 
Iteration 00507    Loss 0.003873 
Iteration 00508    Loss 0.003853 
Iteration 00509    Loss 0.003909 
Iteration 00510    Loss 0.003941 
