Namespace(image='vase', model='ce_skip_depth4')
Number of params: 2157955
Starting optimization with ADAM
Iteration 00532    Loss 0.005283 
Iteration 00533    Loss 0.005359 
Iteration 00534    Loss 0.005405 
Iteration 00535    Loss 0.005203 
Iteration 00536    Loss 0.005019 
Iteration 00537    Loss 0.005125 
Iteration 00538    Loss 0.005289 
Iteration 00539    Loss 0.005003 
Iteration 00540    Loss 0.005023 
Iteration 00541    Loss 0.005012 
Iteration 00542    Loss 0.004972 
Iteration 00543    Loss 0.004985 
Iteration 00544    Loss 0.005107 
Iteration 00545    Loss 0.005033 
Iteration 00546    Loss 0.005027 
Iteration 00547    Loss 0.004971 
Iteration 00548    Loss 0.004853 
Iteration 00549    Loss 0.004955 
Iteration 00550    Loss 0.004896 
Iteration 00551    Loss 0.004797 
Iteration 00552    Loss 0.004800 
Iteration 00553    Loss 0.004925 
Iteration 00554    Loss 0.005051 
Iteration 00555    Loss 0.005143 
Iteration 00556    Loss 0.004827 
Iteration 00557    Loss 0.004788 
Iteration 00558    Loss 0.004869 
Iteration 00559    Loss 0.004882 
Iteration 00560    Loss 0.004792 
Iteration 00561    Loss 0.004862 
Iteration 00562    Loss 0.004843 
Iteration 00563    Loss 0.004912 
Iteration 00564    Loss 0.004836 
Iteration 00565    Loss 0.005104 
Iteration 00566    Loss 0.004975 
Iteration 00567    Loss 0.004902 
Iteration 00568    Loss 0.004779 
Iteration 00569    Loss 0.004665 
Iteration 00570    Loss 0.004857 
Iteration 00571    Loss 0.004770 
Iteration 00572    Loss 0.004643 
Iteration 00573    Loss 0.004696 
Iteration 00574    Loss 0.004566 
Iteration 00575    Loss 0.004569 
Iteration 00576    Loss 0.004552 
Iteration 00577    Loss 0.004554 
Iteration 00578    Loss 0.004483 
Iteration 00579    Loss 0.004513 
Iteration 00580    Loss 0.004531 
Iteration 00581    Loss 0.004578 
Iteration 00582    Loss 0.004595 
Iteration 00583    Loss 0.004542 
Iteration 00584    Loss 0.004523 
Iteration 00585    Loss 0.004526 
Iteration 00586    Loss 0.004469 
Iteration 00587    Loss 0.004450 
Iteration 00588    Loss 0.004448 
Iteration 00589    Loss 0.004435 
Iteration 00590    Loss 0.004553 
Iteration 00591    Loss 0.004498 
Iteration 00592    Loss 0.004485 
Iteration 00593    Loss 0.004509 
Iteration 00594    Loss 0.004347 
Iteration 00595    Loss 0.004335 
Iteration 00596    Loss 0.004324 
Iteration 00597    Loss 0.004296 
Iteration 00598    Loss 0.004278 
Iteration 00599    Loss 0.004249 
Iteration 00600    Loss 0.004172 
Iteration 00601    Loss 0.004220 
Iteration 00602    Loss 0.004205 
Iteration 00603    Loss 0.004168 
Iteration 00604    Loss 0.004302 
Iteration 00605    Loss 0.004338 
Iteration 00606    Loss 0.004295 
Iteration 00607    Loss 0.004198 
Iteration 00608    Loss 0.004272 
Iteration 00609    Loss 0.004364 
Iteration 00610    Loss 0.004764 
Iteration 00611    Loss 0.005377 
Iteration 00612    Loss 0.005446 
Iteration 00613    Loss 0.005379 
Iteration 00614    Loss 0.005164 
Iteration 00615    Loss 0.005322 
Iteration 00616    Loss 0.005449 
Iteration 00617    Loss 0.005516 
Iteration 00618    Loss 0.005219 
Iteration 00619    Loss 0.005076 
Iteration 00620    Loss 0.005035 
Iteration 00621    Loss 0.004948 
Iteration 00622    Loss 0.004779 
Iteration 00623    Loss 0.004789 
Iteration 00624    Loss 0.004505 
Iteration 00625    Loss 0.004578 
Iteration 00626    Loss 0.004412 
Iteration 00627    Loss 0.004344 
Iteration 00628    Loss 0.004260 
Iteration 00629    Loss 0.004215 
Iteration 00630    Loss 0.004140 
Iteration 00631    Loss 0.004081 
Iteration 00632    Loss 0.004044 
Iteration 00633    Loss 0.003982 
Iteration 00634    Loss 0.003949 
Iteration 00635    Loss 0.003904 
Iteration 00636    Loss 0.003852 
Iteration 00637    Loss 0.003827 
Iteration 00638    Loss 0.003790 
Iteration 00639    Loss 0.003741 
Iteration 00640    Loss 0.003716 
Iteration 00641    Loss 0.003688 
Iteration 00642    Loss 0.003725 
Iteration 00643    Loss 0.003740 
Iteration 00644    Loss 0.003875 
Iteration 00645    Loss 0.003957 
Iteration 00646    Loss 0.004079 
Iteration 00647    Loss 0.004033 
Iteration 00648    Loss 0.003878 
Iteration 00649    Loss 0.003908 
Iteration 00650    Loss 0.003794 
Iteration 00651    Loss 0.003874 
Iteration 00652    Loss 0.003824 
Iteration 00653    Loss 0.003626 
Iteration 00654    Loss 0.003678 
Iteration 00655    Loss 0.003674 
Iteration 00656    Loss 0.003606 
Iteration 00657    Loss 0.003559 
Iteration 00658    Loss 0.003552 
Iteration 00659    Loss 0.003597 
Iteration 00660    Loss 0.003635 
Iteration 00661    Loss 0.003584 
Iteration 00662    Loss 0.003608 
Iteration 00663    Loss 0.003593 
Iteration 00664    Loss 0.003565 
Iteration 00665    Loss 0.003561 
Iteration 00666    Loss 0.003498 
Iteration 00667    Loss 0.003504 
